v1, Core, LPChanged, 0.47375, 22535386
v1, LP, LiquidityAdded, 0.2425, 22536069
v1, LP, LiquidityAdded, 0.03725, 22550446
v1, LP, LiquidityAdded, 0.026375, 22553851
v1, Core, ConditionCreated, 139.389542, 22570025
v1, Core, ConditionCreated, 181.729292, 22570027
v1, Core, ConditionCreated, 211.595708, 22570030
v1, Core, ConditionCreated, 121.474458, 22570031
v1, Core, ConditionCreated, 128.063875, 22570033
v1, Core, ConditionCreated, 123.016708, 22570035
v1, Core, ConditionCreated, 147.806292, 22570037
v1, LP, NewBet, 0.537917, 22570066
v1, LP, NewBet, 0.070834, 22570168
v1, LP, NewBet, 0.121417, 22570182
v1, LP, NewBet, 0.060584, 22570187
v1, LP, NewBet, 0.108333, 22570533
v1, Core, ConditionCreated, 241.742959, 22571059
v1, Core, ConditionCreated, 125.142917, 22571062
v1, Core, ConditionCreated, 133.06425, 22571063
v1, Core, ConditionCreated, 127.692208, 22571065
v1, Core, ConditionCreated, 134.1675, 22571067
v1, Core, ConditionCreated, 130.535167, 22571069
v1, Core, ConditionCreated, 126.846584, 22571072
v1, Core, ConditionCreated, 130.338625, 22571074
v1, Core, ConditionCreated, 128.185875, 22571076
v1, Core, ConditionCreated, 126.111166, 22571079
v1, Core, ConditionCreated, 129.53375, 22571080
v1, Core, ConditionCreated, 125.733959, 22571082
v1, Core, ConditionCreated, 136.518625, 22571084
v1, Core, ConditionCreated, 132.681375, 22571086
v1, Core, ConditionCreated, 128.730292, 22571089
v1, Core, ConditionCreated, 134.804875, 22571090
v1, Core, ConditionCreated, 127.978375, 22571092
v1, Core, ConditionCreated, 136.153083, 22571094
v1, Core, ConditionCreated, 136.831916, 22571096
v1, Core, ConditionCreated, 133.895792, 22571098
v1, Core, ConditionCreated, 141.341833, 22571100
v1, Core, ConditionCreated, 146.147916, 22571102
v1, Core, ConditionCreated, 140.767542, 22571106
v1, Core, ConditionCreated, 136.443958, 22571109
v1, Core, ConditionCreated, 132.476875, 22571111
v1, Core, ConditionCreated, 144.973625, 22571113
v1, Core, ConditionCreated, 132.9445, 22571115
v1, Core, ConditionCreated, 264.162667, 22571117
v1, Core, ConditionCreated, 179.350625, 22571119
v1, Core, ConditionCreated, 122.4985, 22571121
v1, Core, ConditionCreated, 119.430542, 22571123
v1, Core, ConditionCreated, 126.421916, 22571125
v1, Core, ConditionCreated, 126.1935, 22571127
v1, Core, ConditionCreated, 125.307708, 22571129
v1, Core, ConditionCreated, 145.858959, 22571131
v1, Core, ConditionCreated, 124.995, 22571239
v1, LP, NewBet, 0.095208, 22571476
v1, LP, NewBet, 0.049542, 22571570
v1, Core, ConditionCreated, 3050.255166, 22571863
v1, Core, ConditionCreated, 133.581208, 22571867
v1, Core, ConditionCreated, 137.242875, 22571870
v1, Core, ConditionCreated, 148.505209, 22571873
v1, Core, ConditionCreated, 135.12825, 22571876
v1, Core, ConditionCreated, 137.965042, 22571879
v1, Core, ConditionCreated, 139.570917, 22571882
v1, Core, ConditionCreated, 121.987542, 22571885
v1, Core, ConditionCreated, 134.700417, 22571888
v1, Core, ConditionCreated, 140.110166, 22571891
v1, Core, ConditionCreated, 132.224, 22571894
v1, Core, ConditionCreated, 133.735083, 22571897
v1, Core, ConditionCreated, 130.92975, 22571900
v1, Core, ConditionCreated, 136.599041, 22571903
v1, Core, ConditionCreated, 138.446667, 22571906
v1, Core, ConditionCreated, 133.531875, 22571909
v1, Core, ConditionCreated, 139.338875, 22571912
v1, Core, ConditionCreated, 205.137625, 22571915
v1, Core, ConditionCreated, 277.605166, 22571919
v1, Core, ConditionCreated, 136.980958, 22571921
v1, Core, ConditionCreated, 123.253292, 22571924
v1, Core, ConditionCreated, 119.59375, 22571928
v1, Core, ConditionCreated, 121.6775, 22571931
v1, Core, ConditionCreated, 126.217625, 22571934
v1, Core, ConditionCreated, 122.316792, 22571937
v1, Core, ConditionCreated, 129.12025, 22571940
v1, Core, ConditionCreated, 124.885042, 22571943
v1, Core, ConditionCreated, 129.572083, 22571946
v1, Core, ConditionCreated, 128.656541, 22571949
